timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T01:16:00.000Z";"2025-03-22T15:35:00.000Z";"2781";634.5969912191;635.7654738035;624.1966947708;626.5743930407;1182741850.55;89270051220.5;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T14:37:00.000Z";"2025-03-21T08:37:00.000Z";"2781";629.9424353129;637.1900382822;625.8570806561;634.6077612284;1472201311.13;90413212678.32;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T09:46:00.000Z";"2025-03-20T16:52:00.000Z";"2781";619.2509588118;637.2163794828;616.9637349526;629.9424353129;2327219767.87;89750263739.31;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T00:00:00.000Z";"2025-03-19T13:32:00.000Z";"2781";628.1344543026;628.1376520841;605.6179206542;619.2574920522;2006233745.57;88227142311.48;"2025-03-19T23:59:59.999Z"
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T10:13:00.000Z";"2025-03-18T01:55:00.000Z";"2781";631.3464774089;642.8888524609;622.4001316405;628.1344543026;2175151766.93;89492950759.94;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T09:31:00.000Z";"2025-03-17T00:00:00.000Z";"2781";602.2096319772;643.0403567463;602.2096319772;631.3626340476;2488514983.95;89950751257.55;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T00:54:00.000Z";"2025-03-16T11:54:00.000Z";"2781";619.4927077889;621.361495842;593.9570709719;602.2166303724;1437680152.11;85799658669.85;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T23:58:00.000Z";"2025-03-15T00:00:00.000Z";"2781";587.1140919616;619.499516363;587.0840009233;619.4861122847;1403335470.31;88262138938.11;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T19:18:00.000Z";"2025-03-14T08:15:00.000Z";"2781";579.218802085;589.1631792865;577.246499378;587.1363142758;1535548121.69;83649072402.52;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T13:28:00.000Z";"2025-03-13T01:01:00.000Z";"2781";569.8948406689;603.4050147935;568.1260113434;579.218802085;2402408413.53;82524243716.52;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T22:37:00.000Z";"2025-03-12T04:40:00.000Z";"2781";551.4745292766;574.4215666832;545.2668271002;569.8948406689;1792696031.23;81195861405.66;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T10:13:00.000Z";"2025-03-11T00:58:00.000Z";"2781";532.1062228549;565.1581921065;509.8356992283;551.4745292766;2438043846.4;78571461285.7;"2025-03-11T23:59:59.999Z"
"2025-03-10T00:00:00.000Z";"2025-03-10T23:59:59.999Z";"2025-03-10T09:25:00.000Z";"2025-03-10T19:05:00.000Z";"2781";554.5804630141;572.0503701607;524.996117895;532.1219117703;1896805158.17;75812011377.77;"2025-03-10T23:59:59.999Z"
"2025-03-09T00:00:00.000Z";"2025-03-09T23:59:59.999Z";"2025-03-09T00:00:00.000Z";"2025-03-09T18:20:00.000Z";"2781";593.0823750614;593.0997565991;551.1481205391;554.5804630141;1540503120;79014084996.23;"2025-03-09T23:59:59.999Z"
"2025-03-08T00:00:00.000Z";"2025-03-08T23:59:59.999Z";"2025-03-08T17:44:00.000Z";"2025-03-08T01:37:00.000Z";"2781";593.9637304976;601.6479078489;591.7101805615;593.0808747097;1147671365.3;84499696920.45;"2025-03-08T23:59:59.999Z"
"2025-03-07T00:00:00.000Z";"2025-03-07T23:59:59.999Z";"2025-03-07T15:08:00.000Z";"2025-03-07T00:58:00.000Z";"2781";596.723715839;609.4311345919;579.3677898604;593.9633787084;1866542048.45;84625301597.78;"2025-03-07T23:59:59.999Z"
"2025-03-06T00:00:00.000Z";"2025-03-06T23:59:59.999Z";"2025-03-06T06:02:00.000Z";"2025-03-06T17:52:00.000Z";"2781";597.9758271336;612.0313309815;589.8913675446;596.7237297152;1621101888.19;85018576036.23;"2025-03-06T23:59:59.999Z"
"2025-03-05T00:00:00.000Z";"2025-03-05T23:59:59.999Z";"2025-03-05T10:39:00.000Z";"2025-03-05T00:50:00.000Z";"2781";583.5860123989;604.5371502614;581.3215192345;597.9758271336;1534770591.45;85197010316.13;"2025-03-05T23:59:59.999Z"
"2025-03-04T00:00:00.000Z";"2025-03-04T23:59:59.999Z";"2025-03-04T21:30:00.000Z";"2025-03-04T02:13:00.000Z";"2781";575.1699964002;587.8701865699;551.6925094872;583.5868285963;1969539537.57;83146853691.4;"2025-03-04T23:59:59.999Z"
"2025-03-03T00:00:00.000Z";"2025-03-03T23:59:59.999Z";"2025-03-03T00:02:00.000Z";"2025-03-03T22:01:00.000Z";"2781";622.9360885707;623.2995347532;568.5407294193;575.1699964002;2161303025.56;81947825452.31;"2025-03-03T23:59:59.999Z"
"2025-03-02T00:00:00.000Z";"2025-03-02T23:59:59.999Z";"2025-03-02T17:48:00.000Z";"2025-03-02T14:20:00.000Z";"2781";607.5109234579;634.5426605805;602.6329838479;622.9360885707;2130538305.32;88753393092.76;"2025-03-02T23:59:59.999Z"
"2025-03-01T00:00:00.000Z";"2025-03-01T23:59:59.999Z";"2025-03-01T22:10:00.000Z";"2025-03-01T01:03:00.000Z";"2781";587.4458120149;608.8959366428;586.5928577492;607.5115485628;1694454520.96;86555736737.25;"2025-03-01T23:59:59.999Z"
"2025-02-28T00:00:00.000Z";"2025-02-28T23:59:59.999Z";"2025-02-28T00:07:00.000Z";"2025-02-28T08:25:00.000Z";"2781";605.123629868;605.401272149;559.9704890171;587.4515717698;2166029990.03;83696980414.81;"2025-02-28T23:59:59.999Z"
"2025-02-27T00:00:00.000Z";"2025-02-27T23:59:59.999Z";"2025-02-27T07:56:00.000Z";"2025-02-27T21:08:00.000Z";"2781";610.6930596823;618.6282570918;595.8003051183;605.123629868;1866447677.25;86215709698.26;"2025-02-27T23:59:59.999Z"
"2025-02-26T00:00:00.000Z";"2025-02-26T23:59:59.999Z";"2025-02-26T03:45:00.000Z";"2025-02-26T20:25:00.000Z";"2781";622.9407670032;630.8197839115;595.2650352482;610.6930596823;1996066324.88;87009274620.31;"2025-02-26T23:59:59.999Z"
"2025-02-25T00:00:00.000Z";"2025-02-25T23:59:59.999Z";"2025-02-25T23:12:00.000Z";"2025-02-25T07:36:00.000Z";"2781";613.9629850111;627.2439933994;589.269835834;622.9407670032;2591258748.98;88754333096.59;"2025-02-25T23:59:59.999Z"
"2025-02-24T00:00:00.000Z";"2025-02-24T23:59:59.999Z";"2025-02-24T00:16:00.000Z";"2025-02-24T23:40:00.000Z";"2781";657.9036620927;659.148340488;612.8212074476;613.9629850111;1901201673.22;87475272528.07;"2025-02-24T23:59:59.999Z"
"2025-02-23T00:00:00.000Z";"2025-02-23T23:59:59.999Z";"2025-02-23T00:24:00.000Z";"2025-02-23T16:01:00.000Z";"2781";668.5744733633;671.0719754632;648.9799419571;657.9036620927;1502735945.65;93735851935.08;"2025-02-23T23:59:59.999Z"
"2025-02-22T00:00:00.000Z";"2025-02-22T23:59:59.999Z";"2025-02-22T19:29:00.000Z";"2025-02-22T00:07:00.000Z";"2781";646.8995133077;679.1232710752;645.6534090303;668.5747478959;1899367076.76;95256240389.36;"2025-02-22T23:59:59.999Z"
"2025-02-21T00:00:00.000Z";"2025-02-21T23:59:59.999Z";"2025-02-21T14:19:00.000Z";"2025-02-21T19:49:00.000Z";"2781";657.2009881236;668.0032747814;635.339917003;646.8995133077;1926193637.41;92168124687.67;"2025-02-21T23:59:59.999Z"
"2025-02-20T00:00:00.000Z";"2025-02-20T23:59:59.999Z";"2025-02-20T22:38:00.000Z";"2025-02-20T12:58:00.000Z";"2781";653.5146830068;658.9291339862;646.6703684516;657.2009881236;1709065792.36;93635908728.87;"2025-02-20T23:59:59.999Z"
"2025-02-19T00:00:00.000Z";"2025-02-19T23:59:59.999Z";"2025-02-19T11:55:00.000Z";"2025-02-19T01:43:00.000Z";"2781";647.4436177647;659.9886120955;638.1408404849;653.5146830068;1916599180.08;93110792192.48;"2025-02-19T23:59:59.999Z"
"2025-02-18T00:00:00.000Z";"2025-02-18T23:59:59.999Z";"2025-02-18T00:10:00.000Z";"2025-02-18T17:39:00.000Z";"2781";667.2362218113;667.7594977726;630.6552518876;647.4433430574;1985512627.32;92245924876.26;"2025-02-18T23:59:59.999Z"
"2025-02-17T00:00:00.000Z";"2025-02-17T23:59:59.999Z";"2025-02-17T14:42:00.000Z";"2025-02-17T19:05:00.000Z";"2781";674.1008592311;681.6255747535;659.2931107017;667.2290620378;1942930815.57;95066038645.77;"2025-02-17T23:59:59.999Z"
"2025-02-16T00:00:00.000Z";"2025-02-16T23:59:59.999Z";"2025-02-16T15:34:00.000Z";"2025-02-16T08:11:00.000Z";"2781";662.327604345;685.0858504588;654.3810266112;674.1008076049;2009553141.73;96044192828.32;"2025-02-16T23:59:59.999Z"
"2025-02-15T00:00:00.000Z";"2025-02-15T23:59:59.999Z";"2025-02-15T16:31:00.000Z";"2025-02-15T00:38:00.000Z";"2781";658.0436248505;670.7623108684;654.470248165;662.3276917542;1794465917.38;94366894135.18;"2025-02-15T23:59:59.999Z"
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T04:09:00.000Z";"2025-02-14T22:52:00.000Z";"2781";668.2775536129;683.9999478506;652.4675747149;658.0436248505;2581045408.53;93756657576.06;"2025-02-14T23:59:59.999Z"
